model_name;core_components;manufacturer_of_record
CobaltDrive Pro SE;Frost Core;Harbor Systems Inc.
AtlasRouter Air;Umbral Matrix;Seabird Manufacturing Inc.
Nova Kernel Evergreen;Nova Kernel;Evergreen Devices Inc.
AuroraSpeaker Gen SE;Quartz Stack Pulse / Citrine Stack Wave;Meadow Works Inc.
KairoBook Pro;Zen Shield;Mosaic Components Inc.
Maple Matrix Glacier;Maple Matrix;Glacier Manufacturing Inc.
ZenithPad Air Max;Sierra Spark;Nightfall Electronics Inc.
Teal Sense Aurora;Teal Sense;Aurora Industries Inc.
SolNode Max;Cedar Hub;Aurora Group Inc.
VegaCase Mini SE;Mira Layer;Mountain Systems Inc.
Kairo Kernel Engine GoldenGate;Kairo Kernel Engine;GoldenGate Works Inc.
AuroraPad Gen Gen;Auric Beam;Arbor Devices Inc.
Maple Grid Orion;Maple Grid;Orion Technologies Inc.
GraphitePhone Gen;Kairo Edge;Mosaic Systems Inc.
LumenBuds SE Ultra Edge;Crimson Signal;RedStone Works Inc.
SenseBuds Plus Pro;Saffron Signal;RedStone Works Inc.
Kairo Pulse Saffron;Kairo Pulse;Saffron Industries Inc.
TopazSpeaker SE Pro Max;Kairo Pulse;Saffron Industries Inc.
JadeRouter Air Plus Pro;Sol Grid Drive;GoldenGate Works Inc.
Kairo Pulse Windmill;Kairo Pulse;Windmill Works Inc.
Kairo Pulse DeepField;Kairo Pulse;DeepField Components Inc.
LumenSpeaker Mini Mini;Topaz Grid Node;Clearwater Technologies Inc.
GraphiteCase;Lime Wave Spark / Beryl Hub;BrightWave Manufacturing Inc.
MintPad SE Mini SE;Topaz Link Flex;Pinecone Devices Inc.
Teal Layer EchoLabs;Teal Layer;EchoLabs Industries Inc.
Golden Stack Core Cinder;Golden Stack Core;Cinder Labs Inc.
ArgoDrive SE Ultra;Frost Matrix Bridge;Seabird Manufacturing Inc.
PearlSpeaker Pro Edge;Argo Vector;RedStone Electronics Inc.
IndigoDrive Plus SE;Azure Kernel Link;Quantum Electronics Inc.
QuartzWatch Lite;Helio Dock;Nightfall Electronics Inc.
AzureKey Lite Lite;Magenta Pulse Engine;EchoLabs Industries Inc.
FlexBook Mini Gen;Topaz Spark / Astra Vault;Atlas Electronics Inc.
SaffronCharge Pro Mini;Cinder Core Flex;Summit Networks Inc.
Sol Kernel Aurora;Sol Kernel;Aurora Industries Inc.
LumenStand Edge;Topaz Kernel Frame;Quantum Electronics Inc.
VegaDock Mini Mini SE;Ember Engine Beam;Clearwater Technologies Inc.
SolStand Max;Nova Dock;Glacier Manufacturing Inc.
LumenCam Air;Umbral Stack;Mountain Systems Inc.
ArgoBook Mini Plus Pro;Zen Link Mesh;Stonebridge Group Inc.
FlexDrive SE Mini;Saffron Vector;Ironwood Group Inc.
NimbusStand Edge Plus;Frost Grid Mesh;Ironwood Group Inc.
VegaPad Air Plus;Teal Link;Mountain Systems Inc.
SaffronPad Edge;Cerulean Mesh / Maple Signal Spark / Onyx Shield Dock;RedStone Electronics Inc.
Sable Pulse Flow Aurora;Sable Pulse Flow;Aurora Industries Inc.
Beryl Stack Kernel Aurora;Beryl Stack Kernel;Aurora Industries Inc.
Cedar Beam Aurora;Cedar Beam;Aurora Industries Inc.
Ember Core Aurora;Ember Core;Aurora Industries Inc.
MintKey Lite Mini SE Air;Cerulean Mesh / Maple Signal Spark / Onyx Shield Dock;RedStone Electronics Inc.
Atlas Flex Nightfall;Atlas Flex;Nightfall Networks Inc.
CatalystBeam Max;Frost Node;Seabird Networks Inc.
GlacierNode Ultra;Quartz Kernel;Saffron Industries Inc.
Quartz Kernel Aurora;Quartz Kernel;Aurora Industries Inc.
QuartzLink Plus Plus;Teal Shield;Ironwood Group Inc.
Quartz Kernel StonebridgAT;Quartz Kernel;Stonebridge Systems Inc.
PulsePhone SE Gen Lite;Quartz Kernel;Clearwater Works Inc.
Nova Drive Aurora;Nova Drive;Aurora Industries Inc.
Sierra Spark Windmill;Sierra Spark;Windmill Manufacturing Inc.
EchoRouter Mini;Violet Signal;Sunpeak Holdings Inc.
WaveNode Ultra Mini;Cobalt Bridge Bridge / Topaz Wave;Orion Manufacturing Inc.
PhotonCam Gen;Atlas Pulse Sync;Summit Manufacturing Inc.
AtlasPad Edge Edge;Lime Wave;Arbor Industries Inc.
OnyxPhone SE Air Plus;Violet Flex;Mountain Group Inc.
SparkPhone Lite SE;Quartz Stack;Springboard Group Inc.
SummitDrive Air;Kairo Matrix;Quantum Electronics Inc.
CrownNode Max Ultra Edge;Lime Wave Spark / Zen Module;Atlas Electronics Inc.
LyraSpeaker Mini;Slate Matrix;Riverstone Works Inc.
Magenta Stack Windmill;Magenta Stack;Windmill Manufacturing Inc.
CodaBook Edge;Azure Signal;Sunpeak Holdings Inc.
ZenithNode Edge Plus;Teal Kernel Bridge / Luna Flow;Crown Devices Inc.
CrownNode SE;Pulse Matrix;Ironwood Group Inc.
SensePad Plus Plus;Sonic Node Drive;Arbor Devices Inc.
SilverBeam Mini Ultra Edge;Umbral Shield;Mosaic Systems Inc.
CopperBeam Air;Citrine Node Mesh;Mosaic Systems Inc.
NebulaCharge Mini Air Plus;Umber Link;Highland Components Inc.
DriveCharge Mini Edge;Lime Wave Spark;Skylark Manufacturing Inc.
OnyxKey Plus Mini;Nova Pulse Pulse;Glacier Manufacturing Inc.
RubyCharge Ultra Pro;Lime Wave Spark;Skylark Manufacturing Inc.
RubyDrive Mini Ultra;Argo Bridge Core;Pinecone Systems Inc.
AtlasWatch SE Pro Max;Echo Node;BlueRiver Manufacturing Inc.
GraphitePad SE Pro;Astra Spark;BrightWave Works Inc.
OpalStand Edge;Onyx Layer / Azure Drive;Lighthouse Works Inc.
Pulse Stack Core Copperline;Pulse Stack Core;Copperline Holdings Inc.
NebulaPad Edge;Sierra Beam;NovaWorks Components Inc.
SonicWatch Max;Ember Kernel;Windmill Networks Inc.
PhotonCase Lite SE;Onyx Core Layer;Ironwood Group Inc.
AtlasCase Air Plus;Nimbus Bridge Edge;BrightWave Works Inc.
SyncBuds Mini Air Plus;Zen Engine;Nightfall Labs Inc.
NovaCase Air SE;Sol Vault;Ironwood Group Inc.
Kairo Pulse Copperline;Kairo Pulse;Copperline Holdings Inc.
MiraDrive Ultra Air;Silver Kernel Beam;BrightWave Technologies Inc.
EdgeBuds Lite Mini SE;Copper Signal Stack;Evergreen Holdings Inc.
AuroraBeam Mini Pro Max;Cinder Kernel Matrix;Glacier Manufacturing Inc.
EchoNode Lite;Topaz Grid Node;NovaWorks Devices Inc.
SenseStand Edge;Silver Kernel Beam;Seabird Manufacturing Inc.
PulseCharge Pro;Lime Matrix Link;EchoLabs Industries Inc.
AuroraPhone Edge;Sonic Kernel Layer;RedStone Works Inc.
QuartzCam Edge;Orion Shield Module;Riverstone Works Inc.
SonicSpeaker Gen Gen;Cinder Dock;RedStone Manufacturing Inc.
SenseDrive Pro SE;Onyx Link;Atlas Electronics Inc.
PhotonPad Plus SE;Nova Frame;Cinder Technologies Inc.
GlacierHub Edge SE;Cerulean Mesh / Onyx Shield Dock;RedStone Electronics Inc.
SilverSpeaker Edge;Pulse Stack Core;Ironwood Group Inc.
SenseStand Edge Air;Coda Bridge / Pearl Beam;Ironwood Group Inc.
SaffronBook Max Ultra;Umbral Core;Skyforge Electronics Inc.
SaffronWatch Max;Nova Stack Vault / Echo Vault;Clearwater Works Inc.
JadeCase Lite Edge;Terra Wave Stack;Copperline Holdings Inc.
AstraPad Edge Plus;Cedar Spark;BlueRiver Manufacturing Inc.
Delta Matrix Grid EchoLabs;Delta Matrix Grid;EchoLabs Industries Inc.
GoldenSpeaker Mini Lite;Beryl Core Drive;EchoLabs Industries Inc.
QuantaPad Air;Delta Matrix Grid;EchoLabs Industries Inc.
QuartzStand SE Lite;Lyra Vector;Photon Works Inc.
SenseBook Mini;Coda Edge;DeepField Systems Inc.
CatalystLink Pro Max Ultra;Sable Flow;RedStone Works Inc.
SilverNode Gen Edge;Ivory Signal;Crown Group Inc.
HelioPad Gen Edge;Cerulean Matrix;Meadow Works Inc.
FlexStand SE Edge;Saffron Kernel Dock;Ironwood Group Inc.
CrimsonCam Gen Max;Sonic Bridge Vault / Ivory Mesh;EchoLabs Industries Inc.
AzureRouter Plus;Kairo Spark;Aurora Industries Inc.
AzureRouter SE Ultra;Teal Link;Skylark Electronics Inc.
AzureBook SE Plus Pro;Silver Grid Stack;Arbor Devices Inc.
PhotonHub Max;Pearl Signal;Cinder Electronics Inc.
VegaSpeaker SE Lite Mini;Nova Kernel / Astra Frame;Aurora Industries Inc.
NebulaStand Edge;Mira Matrix Core;Atlas Technologies Inc.
SlateWatch Lite;Nova Engine;Atlas Electronics Inc.
CitrineCharge Mini;Umbral Core;Clearwater Technologies Inc.
SilverBeam Lite;Pulse Hub;Lumen Electronics Inc.
TerraStand SE Max;Silver Drive / Cinder Signal;Sunpeak Devices Inc.
UmberCharge Mini Gen;Sierra Bridge Matrix;Aurora Systems Inc.
LyraCam Pro Edge;Helio Layer;Atlas Electronics Inc.
NovaKey Plus Pro;Pulse Pulse Signal;Skylark Manufacturing Inc.
PearlNode Mini Gen Lite;Lyra Pulse Edge;Crown Devices Inc.
SparkStand Edge Edge;Maple Signal Spark;RedStone Electronics Inc.
PhotonDock Edge Edge;Beryl Engine;Windmill Works Inc.
SenseRouter Mini Edge Gen;Sierra Hub / Golden Hub;Sunpeak Group Inc.
Coral Sense Saffron;Coral Sense;Saffron Industries Inc.
OpalBuds Mini Pro Max;Slate Signal Kernel;Aurora Group Inc.
TealCase Edge;Quartz Shield;Quantum Labs Inc.
SonicWatch Mini Max;Quartz Grid Signal;Ironwood Group Inc.
QuartzBuds Gen Mini;Onyx Grid Flow;Meadow Works Inc.
SignalBook Edge;Frost Shield;Catalyst Components Inc.
ArgoWatch Edge;Cerulean Flow;EchoLabs Industries Inc.
SilverPhone Mini;Violet Signal Dock;Skylark Manufacturing Inc.
AzureCharge Pro SE;Graphite Engine Bridge;Nightfall Electronics Inc.
HelioBuds Plus;Nova Kernel;Mountain Components Inc.
WaveRouter Mini Air Plus;Opal Sense;Seabird Works Inc.
PhotonDrive Ultra;Silver Drive / Cinder Signal;Lighthouse Works Inc.
SyncCase Gen Gen;Cerulean Wave Signal;Crown Devices Inc.
SilverWatch Gen Ultra;Mint Fabric;Nebula Holdings Inc.
TopazCam Plus Lite;Copper Vault;Windmill Electronics Inc.
Nova Node Stack GoldenGate;Nova Node Stack;GoldenGate Works Inc.
Aero Spark Mountain;Aero Spark;Mountain Industries Inc.
EdgeCam Max Lite;Kairo Engine Sense / Coda Frame;Mosaic Systems Inc.
SparkCase Gen Mini;Maple Grid;BrightWave Technologies Inc.
NebulaRouter Edge Lite;Cerulean Mesh / Onyx Shield Dock;RedStone Electronics Inc.
LyraDrive Mini Air;Citrine Bridge Frame;Mosaic Systems Inc.
SignalDrive Gen Ultra;Zen Link Mesh;Stonebridge Group Inc.
SonicRouter SE Max Ultra;Orion Signal;Aurora Industries Inc.
JadeLink Lite Mini;Umbral Core;Highland Industries Inc.
PearlBuds Lite;Delta Kernel;Mosaic Group Inc.
SilverCharge Max Pro;Umber Dock;Evergreen Devices Inc.
WaveCase Mini;Slate Edge;Windmill Works Inc.
WaveBook Edge;Pulse Grid Fabric;Pinecone Holdings Inc.
EchoDrive Edge Gen;Frost Bridge / Zen Node;Meadow Works Inc.
SonicLink Lite Edge;Sable Pulse Flow;DeepField Industries Inc.
Zen Link Mesh StonebridgSE;Zen Link Mesh;Stonebridge Group Inc.
CrimsonDock Air;Delta Layer;Glacier Manufacturing Inc.
SignalCharge Mini Mini;Maple Wave Module;Atlas Manufacturing Inc.
SolCam Edge Mini;Saffron Beam / Ivory Matrix Frame;Crown Devices Inc.
Coda Shield Copperline;Coda Shield;Copperline Holdings Inc.
Atlas Fabric Kernel Copperline;Atlas Fabric Kernel;Copperline Holdings Inc.
AtlasBeam Ultra;Cedar Engine Vector;Glacier Manufacturing Inc.
VegaPad Edge Pro;Sol Node;Atlas Electronics Inc.
CrownLink Plus Max;Auric Node;Pinecone Components Inc.
NovaBook Air;Auric Node;Pinecone Components Inc.
MintNode;Auric Node;Pinecone Components Inc.
LyraBeam Lite Gen;Sonic Drive;Summit Labs Inc.
MiraCam Mini;Aero Module Arc;Mosaic Holdings Inc.
IndigoCam Edge Ultra;Auric Vector;Glacier Manufacturing Inc.
SparkLink Mini SE Air;Ivory Sense;Glacier Manufacturing Inc.
CrownPad Gen SE;Coda Sync / Mira Sync;BlueRiver Manufacturing Inc.
OpalKey Mini Lite Mini;Topaz Frame;Atlas Electronics Inc.
VectorCase Air Ultra;Topaz Matrix;Stonebridge Industries Inc.
NovaDrive Plus Lite;Opal Drive;Skyforge Electronics Inc.
EdgePhone Lite Pro;Sol Pulse Spark;Copperline Devices Inc.
TealRouter SE Edge;Auric Kernel Sense;Glacier Manufacturing Inc.
OpalNode Edge Gen;Opal Pulse;Seabird Labs Inc.
BridgeNode Air Plus;Magenta Pulse Engine;Seabird Works Inc.
CitrineLink SE Air Plus;Magenta Wave Frame;Glacier Manufacturing Inc.
AzureCam Edge;Magenta Pulse Engine;Ironwood Systems Inc.
HelioNode;Magenta Pulse Engine;Saffron Holdings Inc.
CodaNode Mini SE Air;Pearl Fabric;Crown Devices Inc.
IndigoLink Air;Mira Matrix / Coral Shield / Helio Node Engine;Cinder Works Inc.
GoldenPhone Gen;Umber Fabric;Mosaic Systems Inc.
WaveNode Gen Edge;Azure Engine Flex;Glacier Manufacturing Inc.
Terra Stack Aurora;Terra Stack;Aurora Industries Inc.
SilverBeam Air;Slate Core / Azure Mesh;Orion Labs Inc.
TopazBeam Air;Beryl Core;Orion Labs Inc.
SilverLink Mini Lite Mini;Azure Spark;BlueRiver Manufacturing Inc.
HelioDock SE Air Plus;Ember Layer / Golden Drive;Skyforge Manufacturing Inc.
MintBook Air;Quanta Drive;RedStone Works Inc.
SolPad SE;Frost Kernel;Lighthouse Networks Inc.
OnyxHub Lite Mini SE Air;Opal Node Drive;Mosaic Components Inc.
GlacierPhone Lite;Pearl Shield Sync;Seabird Manufacturing Inc.
PhotonRouter Edge;Helio Link;Mountain Systems Inc.
FlexWatch Edge Ultra;Kairo Dock;Catalyst Components Inc.
LyraRouter Gen;Pulse Sync / Slate Beam / Cinder Fabric Node;Lighthouse Manufacturing Inc.
VectorPad Pro;Topaz Vector;Ironwood Group Inc.
DriveStand Ultra Edge Gen;Cinder Fabric / Mint Mesh / Cinder Dock;Ironwood Systems Inc.
CoreCase Mini SE Air;Cinder Fabric / Mint Mesh / Cinder Dock;Ironwood Systems Inc.
CrownSpeaker Mini Mini;Topaz Sync;Aurora Systems Inc.
IndigoStand SE SE;Cinder Sync;Mosaic Holdings Inc.
QuantaLink Pro Plus;Azure Vault;Mountain Devices Inc.
Umbral Engine Copperline;Umbral Engine;Copperline Holdings Inc.
Maple Matrix Nebula;Maple Matrix;Nebula Systems Inc.
Ruby Grid Aurora;Ruby Grid;Aurora Industries Inc.
Maple Grid Evergreen;Maple Grid;Evergreen Devices Inc.
TealCase Plus Ultra;Topaz Arc / Atlas Kernel / Helio Drive Hub / Vega Drive Frame;Glacier Manufacturing Inc.
PearlKey Max;Vega Module / Azure Signal Edge / Beryl Hub;Seabird Manufacturing Inc.
GoldenHub Max;Zen Module / Azure Signal Edge / Beryl Hub;Seabird Manufacturing Inc.
AuroraBeam Edge;Vega Module / Azure Signal Edge / Beryl Hub;Seabird Manufacturing Inc.
LumenStand Gen Lite;Sonic Flow;Windmill Manufacturing Inc.
Aero Module Arc Nebula;Aero Module Arc;Nebula Systems Inc.
Aero Module Arc Aurora;Aero Module Arc;Aurora Industries Inc.
Sable Matrix Kernel Mosaic;Sable Matrix Kernel;Mosaic Group Inc.
NebulaPad SE;Topaz Sync;Aurora Systems Inc.
BeamCharge Mini Pro;Violet Matrix;Orion Electronics Inc.
LumenCharge Mini Ultra;Lime Layer;Seabird Manufacturing Inc.
CobaltBeam Mini Mini;Atlas Sync;RedStone Networks Inc.
SyncNode Mini;Kairo Sync;RedStone Networks Inc.
AtlasBeam Mini SE Air;Slate Grid;BlueRiver Networks Inc.
LumenPad SE Max Ultra;Pearl Shield Sync;Seabird Manufacturing Inc.
CopperCam Edge;Sable Matrix Kernel;Saffron Industries Inc.
QuartzBeam Plus Mini;Umbral Sense;Glacier Manufacturing Inc.
NovaBook Mini Mini;Pearl Shield Sync;Seabird Manufacturing Inc.
Sable Matrix Kernel Saffron;Sable Matrix Kernel;Saffron Industries Inc.
OnyxKey Edge Gen Lite;Topaz Grid Node;Glacier Manufacturing Inc.
NebulaDrive Gen;Copper Spark / Coral Fabric Signal;Photon Works Inc.
SyncBeam Lite Edge;Topaz Stack;BlueRiver Technologies Inc.
CobaltHub;Coral Core;Saffron Industries Inc.
RubyHub;Azure Core Arc;Harbor Systems Inc.
TerraKey Plus Mini;Cedar Drive;SilverLine Devices Inc.
Topaz Sync GoldenGate;Topaz Sync;GoldenGate Works Inc.
BeamPad Pro;Cerulean Drive Frame / Slate Beam / Azure Core / Cinder Fabric Node;Lighthouse Manufacturing Inc.
Topaz Sync Evergreen;Topaz Sync / Beryl Hub;Evergreen Group Inc.
LyraPhone Edge;Nova Fabric;Riverstone Works Inc.
Topaz Sync EchoLabs;Topaz Sync;EchoLabs Industries Inc.
SenseCase SE;Umbral Matrix Bridge;Harbor Systems Inc.
Lime Wave Spark BrightWave;Lime Wave Spark;BrightWave Manufacturing Inc.
Azure Wave Seabird;Azure Wave;Seabird Labs Inc.
Coda Node Shield Copperline;Coda Node Shield;Copperline Holdings Inc.
VegaDrive Lite Mini SE Air;Topaz Spark;Atlas Electronics Inc.
Teal Layer Copperline;Teal Layer;Copperline Holdings Inc.
Frost Link Frame Aurora;Frost Link Frame;Aurora Industries Inc.
GraphiteSpeaker SE Gen;Lyra Flow;Windmill Technologies Inc.
SignalPad Mini Mini;Citrine Grid Shield;Seabird Manufacturing Inc.
Terra Wave Stack Windmill;Terra Wave Stack;Windmill Manufacturing Inc.
SyncCharge Pro Plus;Nimbus Core Link;Seabird Manufacturing Inc.
CatalystCharge Mini Edge;Jade Shield Edge;Sunpeak Holdings Inc.
SyncHub Edge Ultra;Terra Link Pulse;Mosaic Components Inc.
CitrineStand SE Mini;Pulse Matrix;Mosaic Industries Inc.
SenseKey Ultra Edge;Violet Stack;Glacier Manufacturing Inc.
Indigo Node Module Harbor;Indigo Node Module;Harbor Systems Inc.
QuantaBook SE Mini SE;Lime Matrix;Saffron Systems Inc.
Onyx Wave DeepField;Onyx Wave;DeepField Systems Inc.
Ruby Shield Pulse Lumen;Ruby Shield Pulse;Lumen Labs Inc.
ArgoHub Ultra Pro;Maple Grid Vault;BrightWave Manufacturing Inc.
AstraWatch SE Mini;Luna Shield Spark;Skylark Manufacturing Inc.
CoreCharge Mini Ultra;Lime Wave Spark / Beryl Hub;Skylark Manufacturing Inc.
MintCharge Ultra Mini;Lime Wave Spark / Beryl Hub;Skylark Manufacturing Inc.
IndigoDock Ultra Lite;Cedar Sense / Nimbus Fabric Vault;Clearwater Electronics Inc.
LumenDock Mini Mini SE;Sierra Stack Mesh;Crown Devices Inc.
BeamBeam Max;Sierra Node / Golden Stack;Aurora Systems Inc.
HelioStand Lite;Pulse Sense;Windmill Works Inc.
SaffronCase Max Mini;Citrine Link Arc;Cinder Works Inc.
OrionKey Max Pro;Golden Arc;EchoLabs Components Inc.
SlateCase Lite Ultra;Auric Core Stack;Mosaic Systems Inc.
SenseDock Gen;Pulse Sync / Slate Beam / Magenta Core;Lighthouse Manufacturing Inc.
SignalRouter Lite;Quartz Mesh;Mountain Systems Inc.
Azure Wave Copperline;Azure Wave;Copperline Holdings Inc.
EchoDock Edge Max;Helio Link Wave;Aurora Systems Inc.
OrionStand Ultra;Citrine Grid Shield / Mint Node Sync;Seabird Manufacturing Inc.
GoldenCharge Pro Edge;Topaz Grid Node;Highland Industries Inc.
OnyxHub;Coral Core;Windmill Manufacturing Inc.
OrionDrive Mini SE;Onyx Spark;Mountain Group Inc.
Golden Stack Core Copperline;Golden Stack Core;Copperline Holdings Inc.
CobaltNode Lite Mini;Maple Grid;BlueRiver Networks Inc.
EchoBook Air;Citrine Matrix;Seabird Manufacturing Inc.
ArgoDock SE Lite Mini;Coda Flow;Skylark Manufacturing Inc.
BridgePad Lite Plus;Onyx Spark / Magenta Kernel / Golden Shield;Pinecone Devices Inc.
AuroraRouter Air Plus;Sonic Engine;Windmill Works Inc.
NovaLink Plus;Nimbus Bridge;BlueRiver Labs Inc.
AzureCam Mini SE Air;Astra Matrix Flex;Cinder Labs Inc.
PulseKey Gen Ultra;Kairo Fabric;Seabird Manufacturing Inc.
QuantaKey Plus Pro Max;Citrine Grid Shield;Seabird Manufacturing Inc.
SparkSpeaker SE Max Ultra;Teal Layer;Highland Holdings Inc.
Helio Link Wave Aurora;Helio Link Wave;Aurora Systems Inc.
CopperStand Mini Mini SE;Ember Hub / Graphite Hub;Windmill Works Inc.
QuartzPhone Mini;Kairo Flow;Windmill Works Inc.
BeamHub Gen;Mint Engine;Mountain Components Inc.
CoreSpeaker Gen Ultra;Silver Engine Matrix;Northwind Labs Inc.
SaffronNode Mini Max Ultra;Cobalt Drive Shield;Northwind Labs Inc.
AuroraStand Mini Lite Mini;Saffron Wave;Glacier Manufacturing Inc.
NovaCam Plus Mini;Silver Edge;Pinecone Systems Inc.
AtlasDock Mini Air Plus;Cinder Grid Edge;Northwind Labs Inc.
VegaPad Gen Air;Ruby Vault;Saffron Systems Inc.
NebulaHub Edge Gen;Sierra Vault;Meadow Technologies Inc.
VegaPhone SE Mini;Coda Link;GoldenGate Works Inc.
JadeDrive Max;Azure Fabric;Northwind Labs Inc.
OpalPhone Mini Gen;Maple Core Engine;Northwind Labs Inc.
GoldenDrive Max;Mint Arc;Northwind Labs Inc.
GlacierRouter Mini;Quartz Signal;Sunpeak Holdings Inc.
FlexCase SE;Coda Node Shield;Aurora Systems Inc.
BeamCam Mini;Cobalt Core Vector;SilverLine Devices Inc.
CoreBeam;Sierra Engine / Pearl Pulse;Pinecone Components Inc.
OpalLink Edge;Sierra Signal Edge;BlueRiver Manufacturing Inc.
Echo Stack Aurora;Echo Stack;Aurora Industries Inc.
GraphiteDrive Gen;Sierra Engine / Pearl Pulse;Pinecone Components Inc.
SyncBuds Pro Max Ultra Edge;Cerulean Flow;Clearwater Technologies Inc.
MintCharge Air;Frost Dock / Azure Mesh;Mosaic Systems Inc.
PhotonBeam Lite Air;Pulse Mesh;Mosaic Holdings Inc.
CitrineBeam Lite Mini SE;Violet Frame;Seabird Manufacturing Inc.
PhotonDrive SE Max;Mira Pulse Dock;Clearwater Technologies Inc.
Mira Drive Glacier;Mira Drive;Glacier Labs Inc.
SignalBeam Lite Ultra;Orion Edge;Skylark Networks Inc.
GoldenBuds Plus;Ruby Kernel;BrightWave Technologies Inc.
CitrineBuds Gen SE;Cedar Dock;Catalyst Devices Inc.
CitrineCharge Pro Edge;Quartz Sync;Nightfall Labs Inc.
EchoBuds Mini;Maple Stack Flex;Windmill Works Inc.
Cobalt Signal Cinder;Cobalt Signal;Cinder Labs Inc.
Golden Stack Core DeepField;Golden Stack Core;DeepField Systems Inc.
OpalPad SE SE Air;Coda Sync / Azure Spark;BlueRiver Manufacturing Inc.
CoreCase Gen;Atlas Edge;Summit Electronics Inc.
AzureCase Edge Gen;Jade Layer;Evergreen Group Inc.
TealCam Mini Air Plus;Mint Signal;BrightWave Technologies Inc.
OpalBook Pro;Indigo Hub / Pulse Core / Azure Core / Helio Engine;Aurora Industries Inc.
QuartzHub Gen Edge;Indigo Core Fabric;Atlas Labs Inc.
OpalSpeaker Mini Edge;Sonic Node Drive;Meadow Manufacturing Inc.
GoldenCam Ultra Ultra;Opal Link;Mountain Devices Inc.
Topaz Wave Copperline;Topaz Wave;Copperline Holdings Inc.
MiraBuds Plus;Kairo Sense;Mosaic Systems Inc.
LyraRouter Ultra Mini;Frost Beam;Atlas Electronics Inc.
AstraPad Gen Lite Mini;Sierra Core Arc;Springboard Group Inc.
CopperPad Edge;Mint Engine Beam;BlueRiver Manufacturing Inc.
TealPhone Lite;Atlas Matrix / Mint Node Sync;Glacier Labs Inc.
IndigoDrive SE Max;Atlas Matrix;Glacier Labs Inc.
EchoBook Pro;Auric Sync;Atlas Technologies Inc.
CrownCharge Mini Max Ultra;Beryl Shield Fabric;Evergreen Group Inc.
SlateCam Pro Ultra;Topaz Grid Node;Skyforge Electronics Inc.
SaffronPad Plus;Opal Vault;Evergreen Devices Inc.
AtlasWatch Mini;Frost Engine;Ironwood Group Inc.
CobaltSpeaker Pro Max Ultra;Ruby Module Shield / Sol Flex;Crown Systems Inc.
PulseBuds Plus;Kairo Sense;Mosaic Systems Inc.
CopperPhone SE Ultra Edge;Pulse Drive;Astra Labs Inc.
PhotonLink Mini SE Air;Magenta Stack;Harbor Systems Inc.
SaffronPhone Mini;Cerulean Drive Frame / Slate Beam / Magenta Core;Nebula Systems Inc.
QuartzDrive Gen;Topaz Wave;Mosaic Systems Inc.
SonicPhone Edge;Topaz Wave;Mosaic Systems Inc.
TealPhone Ultra Pro;Luna Signal;Crown Devices Inc.
AuroraCam Lite;Mira Core;Lumen Works Inc.
AstraWatch SE Mini SE;Azure Vault;Arbor Components Inc.
CoreSpeaker Pro Plus;Topaz Engine Signal;Nightfall Labs Inc.
SilverCase Pro Gen;Umbral Bridge;Nebula Components Inc.
CoreSpeaker Lite Pro;Atlas Sync / Vega Flow;Aurora Systems Inc.
TerraDrive Air Plus Pro;Pearl Matrix;RedStone Works Inc.
VectorBuds Mini Mini;Sonic Vault;Highland Components Inc.
SparkBuds Lite Gen;Indigo Matrix;Evergreen Holdings Inc.
GlacierSpeaker SE Lite Mini;Coral Beam;Cinder Works Inc.
KairoKey Mini;Astra Mesh;Mosaic Holdings Inc.
HelioCharge SE Lite Mini;Ember Core;RedStone Works Inc.
CobaltDock Mini SE Air;Maple Matrix;Evergreen Holdings Inc.
Atlas Fabric Kernel Cinder;Atlas Fabric Kernel;Cinder Labs Inc.
SonicWatch Mini;Ivory Flex;Mosaic Components Inc.
NebulaBeam Mini Max Ultra;Echo Drive;BrightWave Works Inc.
IndigoRouter Edge Air;Ember Stack;Harbor Systems Inc.
IndigoCharge Air Air;Mira Drive;Glacier Technologies Inc.
Kairo Pulse GoldenGate;Kairo Pulse;GoldenGate Works Inc.
HelioSpeaker Mini Max;Argo Grid;BlueRiver Technologies Inc.
BridgeDrive Lite;Mira Drive;BrightWave Works Inc.
CrownCam;Pulse Matrix;Skyforge Electronics Inc.
MintNode Mini Lite Mini;Mira Bridge Flow;Northwind Manufacturing Inc.
AzureLink Lite Gen;Pearl Node Core / Zen Flex;DeepField Systems Inc.
GlacierLink Plus Ultra;Ivory Node;Zenith Components Inc.
NovaBuds SE Plus Pro;Sable Flow / Terra Wave Stack;Evergreen Holdings Inc.
CrownKey Max;Zen Node;RedStone Works Inc.
Cedar Beam EchoLabs;Cedar Beam;EchoLabs Industries Inc.
AstraCam Ultra;Ruby Sense;Ironwood Systems Inc.
WaveWatch SE Lite Mini;Topaz Grid Node;Aurora Industries Inc.
WaveBook SE Air;Maple Grid Vault;Seabird Manufacturing Inc.
OrionDrive Pro Mini;Mira Matrix Core;Mosaic Holdings Inc.
MiraWatch Lite;Indigo Module;Pinecone Industries Inc.
GoldenNode Pro Max Ultra Edge;Nimbus Bridge;Catalyst Holdings Inc.
Golden Shield Pinecone;Golden Shield;Pinecone Devices Inc.
GraphiteDrive Pro Lite;Sable Fabric;Copperline Systems Inc.
Sable Matrix Kernel Aurora;Sable Matrix Kernel;Aurora Industries Inc.
Mira Sync Aurora;Mira Sync;Aurora Systems Inc.
